Malice in Maggody,Fiction_Crime and Mystery_Detective Story and Detectives,When murders disrupt the peaceful town of Maggody_ Sheriff Hanks and her slow deputy_ Paulie_ set out on a hilarious_ hell-raising chase through the backwoods in search of a murderer.,,,
Mischief in Maggody,Fiction_Crime and Mystery_Detective Story and Detectives,Police Chief Arly Hanks finds her small town_ Maggody_ has some new inhabitants when she returns from vacation. Soon_ Robin Buchanon_ local prostitute and moonshiner_ disappears_ and Arly finds her bloody body at the edge of a marijuana field.,,,
Much Ado in Maggody,Fiction_Crime and Mystery_Detective Story and Detectives,When Johanna Mae Nookim is denied the request to file sex discrimination charges_ soon half the women in Maggody band together. Brother Verber thinks they are practicing witchcraft_ but everybody learns the truth when the women stage a demonstration. Next_ the bank turns to flames_ and the head teller is found dead.,,,
Madness in Maggody,Fiction_Crime and Mystery_Detective Story and Detectives,"No doubt about it_ local gossips had finally gotten something right: a maniac was loose in Maggody Arkansas (pop. 755). So Chief of Police Ariel ""Arly"" Hanks_ a.k.a. the local girl who did not make good in New York City and came home to lick her wounds_ is back in action. Someone sabotaged the grand opening of Jim Bob's Supersaver Buy 4 Less with tainted tamale sauce and straight pins in the cupcakes. Now Arly's got 23 cases of food poisoning and a whole passel of suspects who want Jim Bob's store to go belly up_ including her very own mother_ Ruby Bee. What Arly doesn't have is an inkling of the other high crimes and misdemeanors about to be perpetrated in a Maggody gone bonkers:sex scandals_ scams.... and very sudden death.",,,
Mortal Remains in Maggody,Fiction_Crime and Mystery_Detective Story and Detectives,"Chief of Police Arly Hanks is still telling herself that someday she'll leave her hometown of Maggody_ Arkansas (pop. 755) and return to the bright lights of Manhattan. Ordinarily Arly's known for saying nothing ever happens in Maggody_ but lately that's all changed: Word is buzzing all the way from Ruby Bee's Bar & Grill to Estelle's Hair Fantasies that Hollywood (or at least Burbank) is coming to this tiny Ozarks town to shoot on location. Everyone is starstruck. Even Arly seems to be falling for the sweet talk of a handsome young actor when she ought to be focusing on stopping the local arsonist. Then things really heat up. First the actors are peeling off their clothes - and if that weren't enough_ they're suddenly turning up missing - or dead. Before the director can yell ""action_"" the credits are rolling on a moonshine-style mystery....",,,
Maggody in Manhattan,Fiction_Crime and Mystery_Detective Story and Detectives,"Arly (aka Ariel) Hanks_ Chief of Police of Maggody_ Arkansas (pop. 755)_ has been known to break out in hives just thinking about Manhattan. Her idea of a good time is running a speed trap at the edge of town_ stomping around the ridge looking for Raz Buchanan's still_ and having the blue plate special at Ruby Bee's Bar and Grill on Saturday night. 

So the last place on earth Arly wanted to be was back in Manhattan with its bright lights_ memories of her nasty divorce ... and_ doggone it anyway_ a most inconvenient murder. The week started out just dandy with the social event of the season_ the long-awaited marriage of lovestruck Kevin Buchanan and his sweet_ his beloved_ his three-hundred-pound darling_ Dahlia O'Neill. As if that didn't give the gossips enough to talk about_ Ruby Bee won an all-expense-paid trip to New York as a finalist in the Koko-Nut Cooking Contest_ and she and Estelle were on their way to show the city folks a thing or two. 

But before the week ended_ the newlyweds went amok on their way to Niagara Falls_ and Ruby Bee_ while making a big splash in the Big Apple_ was in the slammer for attempted murder! Flying to the rescue just about wiped out Arly's bank account_ and checking into the Chadwick Hotel almost did the same thing for her reputation. The contest had brought together some of the most unlikely characters ever to turn on a Mixmaster_ and in an embarrassingly short time_ Arly found herself in the room of good-looking_ unmarried Durmond Pilverman_ whose talents went way beyond his skill at baking a Koko-Nut Kream Pie. 

But when a dead body turned up in the hotel dumpster_ Arly smelled something suspicious in this national cook-off. And the .38 she found hidden in Durmond's dresser had her wondering if she was in danger of sleeping with the enemy.",,,
O Little Town of Maggody,Fiction_Crime and Mystery_Detective Story and Detectives,"Chief of Police Arly (Ariel) Hanks is still hiding out in her hometown of Maggody_ Arkansas (pop. 755)_ the land of moonshine and Ruby Bee's Bar & Grill_ country roads and Nashville on the radio_ cheatin' hearts and_ well_ maybe murder. It all starts when Matt Montana_ country music's number one superstar of the year_ decides it's a great PR move to come home to Maggody for the holidays. For a town in the grip of a recession_ the news means Christmas is bringing a savior. Mrs. Jim Bob Buchanan_ the mayor's wife_ quickly sets up the Matt Montana Official Souvenir Shoppe_ the amply endowed Dahlia Buchanan drives tourists around in the ""Matt-mobile_"" and beer costs two dollars a bottle at the Matt Montana Hometown Bar & Grill. Only one thing is missing: Aunt Adele_ Matt Montana's one and only living relative. The elderly lady has mysteriously disappeared from the local nursing home_ and Arly - even with the loan of the Fayetteville's PD's tracking dog - can find neither hide nor hair nor corpse of her. Now Arly gets to peek behind the scenes at a singing star's very private life to discover the manager who isn't above using blackmail_ the wife who may be willing to kill to keep her man_ and the pretty young singer who is giving Matt Montana an achy breaky heart. Is one of them a killer? Why has Dahlia Buchanan confessed to murder? What did happen to Aunt Adele? And what does moonshiner Raz Buchanan's pig Marjorie have to do with it all? Since Arly is the smartest_ spunkiest_ most off-beat sleuth in the Ozarks_ it's up to her to save Christmas and restore order to the wacky_ delightful community of Maggody_ where anything can happen - and usually does.",,,
Martians in Maggody,Fiction_Crime and Mystery_Detective Story and Detectives,Life in Maggody often seems akin to a particularly lurid tabloid expose_ so what could be more appropriate than the appearance of crop circles in Raz Buchanon's cornfield_ obviously the work of extraterrestrials or intraterrestrials_ depending on which of two leading UFO experts is bending your ear. The experts_ assorted true believers_ and a gaggle of tabloid reporters are all checked into Ruby Bee's Flamingo Motel.,,,
Miracles in Maggody,Fiction_Crime and Mystery_Detective Story and Detectives,Chief of police Arly (Ariel) Hanks handles all the crime that comes her way in Maggody_ Arkansas (pop. 755)_ with the ease that Ruby Bee at Ruby Bee's Bar & Grill gets out her blue plate specials. Of course_ most lawbreaking in this neck of the woods has to do with an illegal still or Raz Buchanon's pet pig getting loose. And the biggest crime_ according to her mother and friends_ is Arly's own unmarried state. But that's before the motorcade of televangelist and faith healer Malachi Hope rolls into town and sets up a tent revival that promises to put Maggody on the map...and put Arly on the hot seat.,,,
The Maggody Militia,Fiction_Crime and Mystery_Detective Story and Detectives,Chief of police Arly (that's short for Ariel) Hanks makes sure there's law and order in Maggody_ Arkansas (pop. 755)_ which isn't too difficult considering the only weapon she needs to tote around is a radar gun. Aside from Raz Buchanon's moonshine still up on Cotter's Ridge_ Maggody is a peaceful little Ozarks town snuggled in the heartland of America_ until a group of camouflage-clad patriots march in with maneuvers - and murder. It all begins when a pretty widow named Kayleen opens a pawnshop over the hardware store and buys an old farm out on County 102. The widow is letting a group of survivalists use her back pasture for paint-ball war games during the first weekend of hunting season when bourbon-swigging good ol' boys with deer rifles shoot at anything that moves...and that might include make-believe soldiers in fatigues. Suddenly Arly has her hands full: burglars are breaking into remote homes throughout the county, Mayor Jim Bob is a missing person_ and his wife is having a hissy fit, the very pregnant Dahlia Buchanon is behaving more bizarrely than usual, and Estelle_ of Estelle's Hair Fantasies_ gets a surprise inheritance that has the residents of Maggody running for cover. So when a survivalist gets killed_ Arly is hunting for a motive_ a means_ and a murderer.
