A simple plan,Fiction_Crime and Mystery_Crime/Caper,Discovering a crashed airplane_ its dead pilot_ and four million dollars in unsought cash_ Hank Mitchell believes all he will have to do is wait_ until his manipulative pregnant wife compels him to commit blackmail_ deceit_ and murder.
Lord Brocktree,Fiction_Children & Young Adult_Fantasy_Talking Animals,"The villainous Ungatt Trunn_ a menacing wildcat_ has brought his powers to bear on Salamandastron_ threatening the peace-loving beasts whho live there.

But all is not lost. Old Lord Stonepaw_ the venerable Badger Ruler_ summons the strongest of the strong to take over as lord of the badgermountain and battle the evil wildcat.

Together with his companion_ the young hairemaid Dotti_ Lord Brocktree travels towards Salamandastron. But can he raise an army in time to smash Ungatt Trunn's terrifying Blue Hordes?"
The Lawnmower Man,Fiction_Horror_Comic Horror_Stephen  King,"A man hires a company to cut the grass of his overgrown  yard_ yet the man who appears has an unusual method to his work.
First published in Cavalier_ May 1975"
Strawberry Spring,Fiction_Horror_Psychological Horror_Stephen  King,"A killer stalks a small community college campus when the weather becomes infused with the thick fogs of a ""strawberry spring.""
First published in Cavalier_ November 1975."
One for the Road,Fiction_Horror_Vampires_Stephen  King_Ray  Bradbury_Tanith  Lee_Charles  Beaumont_Clifford D.  Simak_Jane  Yolen_Chelsea Quinn  Yarbro_  Saki_Jerome  Bixby_Mack  Reynolds_Theodore R.  Cogswell_Richard  Parker_Phyllis  MacLennan_Barbara  Williamson,"A man from New Jersey stumbles out of a massive snowstorm and into a small pub. Stricken with frostbite and fatigue_ he pleads for help to fetch his wife and daughter who are stranded in their car in the raging storm back near Jerusalem's Lot.
First published in Maine Magazine_ March/April_ 1977."
The Ledge,Fiction_Crime and Mystery_Suspense_Horror_Psychological Horror_Stephen  King,"A former tennis pro is forced to play a deadly game for having seduced the wife of a wealthy man.
First published in Penthouse."
Children of the Corn,"Fiction_Horror_Satanism, Demonology, and Black Magic_Stephen  King_L. Frank  Baum_Ursula K.  Le Guin_H. P. Lovecraft_Louisa May Alcott_Ray  Bradbury_Orson Scott  Card_Nathaniel  Hawthorne_Shirley  Jackson_Henry  James_Mark  Twain_Edith  Wharton_Harlan  Ellison_Greg  Bear_David  Drake_Robert W.  Chambers_Charles  Beaumont_Alan Dean  Foster_Henry  Kuttner_W.P.  Kinsella_Richard  Matheson_Theodore  Sturgeon_Avram  Davidson_Gene  Wolfe_Michael  Bishop_Manly Wade  Wellman_Karl Edward  Wagner_Washington  Irving_Kate  Chopin_Jack  Finney_Charlotte Perkins  Gilman_Fredric  Brown_R. A. Lafferty_Alan  Brennert_Frank R.  Stockton_Stephen Vincent  Benét_Joel Chandler  Harris_Bradley  Denton_Edward  O'Reilly","A couple stumble upon a half-deserted Nebraska town with a chilling ritual.
First published in Penthouse_ March 1977."
I Know What You Need,"Fiction_Horror_Satanism, Demonology, and Black Magic_Stephen  King_Ray  Bradbury_Arthur Conan  Doyle_Martin H.  Greenberg_Jack  Vance_Andre  Norton_Fritz  Leiber_Henry  Slesar_Edward D.  Hoch_Robert  Arthur_Frank R.  Stockton_Gerald W. Page_F. Scott  Fitzgerald_Alice  Walker_Jean  Stafford_John  Updike_Peter  Taylor_Paul  Bowles_John  O'Hara_Harold  Brodkey_Irwin  Shaw_Peter  Cameron_Elizabeth  Spencer_Evan S.  Connell_Daniel  Menaker_George  Milburn_Mary  Robison_Walter  Bernstein_Allan  Seager_Ella  Leffland","A college junior meets an odd boy with mismatched socks and dirty hair who seems to always know exactly what she wants.
First published in Cosmopolitan_ September 1976."
The Man Who Loved Flowers,Fiction_Horror_Psychological Horror_Stephen  King,"On a hot and busy New York afternoon_ a charming young man buys a bouquet of flowers.
First published in Gallery_ August 1977."
Jerusalem's Lot,Fiction_Horror_Vampires_Stephen  King_H. P. Lovecraft_Ramsey  Campbell_August  Derleth_Robert E.  Howard_Fritz  Leiber_Henry  Kuttner_Clark Ashton  Smith_Frank Belknap  Long_Robert  Bloch_Brian  Lumley_Colin  Wilson_Philip José  Farmer_Richard A.  Lupoff_Joanna  Russ_Karl Edward  Wagner_James  Wade,"The origins of 'Salem's Lot. A man moves to his ancestral home and learns of the superstitions surrounding his predecessors.
First published in the collection Night Shift_ NY: Doubleday_ 1978."
"Quitters, Inc.","Fiction_Horror_Psychological Horror_Stephen  King_Ruth  Rendell_Agatha  Christie_Isaac  Asimov_Ray  Bradbury_Arthur Conan  Doyle_Frederick  Forsyth_Dorothy L. Sayers_Mark  Twain_Lawrence  Block_Dick  Francis_Donald E.  Westlake_Robert  Bloch_Sue  Grafton_Ross  MacDonald_John D.  MacDonald_Bill  Pronzini_G. K. Chesterton_Eric  Ambler_Linda  Barnes_Antonia  Fraser_Rex  Stout_Edward D.  Hoch_John Dickson  Carr_Reginald  Hill_Robert  Barnard_Patricia  Moyes_Simon  Brett_Michael  Gilbert_P.D.  James_Stanley  Ellin_Julian  Symons_Ellery  Queen_Erle Stanley  Gardner_Cornell  Woolrich_Ursula  Curtiss_Charlotte  Armstrong_Nedra  Tyre_Lillian  de la Torre_Aldous  Huxley_Edgar Allan  Poe_Elmore  Leonard_Ernest  Hemingway_Edith  Wharton_James Gould  Cozzens_Harlan  Ellison_Jack  London_Lord  Dunsany_Thomas  Hardy_Patricia  Highsmith_James  Ellroy_Wilkie  Collins_A. A. Milne_O.  Henry_Georges  Simenon_John  Collier_Sara  Paretsky_Evan  Hunter_Mickey  Spillane_Clark  Howard_Jack  Ritchie_E.W.  Hornung_Thomas  Burke_Jacques  Futrelle_Frederick Irving  Anderson_Melville Davisson  Post_Ring  Lardner_Ben Ray  Redman_James  Thurber_Harry  Kemelman_Stephen  Greenleaf_Robert  Barr_Vincent  Starrett_Logan  Clendening_Barry  Perowne_C.P.  Donnel, Jr._Ogden  Nash_John E.  Gardner_Charles  McCarry_William  Faulkner_Shirley  Jackson_John  Steinbeck_Pearl S.  Buck_Willa  Cather_Dashiell  Hammett_Raymond  Chandler_James M.  Cain_Henry  Slesar_Joyce Carol  Oates_Joe  Gores_Flannery  O'Connor_Dennis  Lehane_James  Crumley_Margaret  Millar_Brendan  DuBois_Robert L.  Fish_Michael  Malone_Damon  Runyon_Susan  Glaspell_Tom  Franklin_Wilbur Daniel  Steele_Jerome  Weidman_Sharyn  McCrumb_Ed  Gorman_Max Allan  Collins_Jeffery  Deaver_Marcia  Muller_John  Lutz_Jeremiah  Healy_Fredric  Brown_Anthony  Boucher_Tony  Hillerman_Lisa  Scottoline_Ed  McBain_Anna Katharine  Green_Janwillem  van de Wetering_Steve  Martini","Quitters_ Inc. will do anything to help you stop smoking.
Originally published in the collection Night Shift_ 1978."
The Last Rung on the Ladder,Fiction_Horror_Psychological Horror_Stephen  King,"Years ago_ Larry saved his sister's life. Now she is going to do something terrible.
First published in the collection Night Shift_ NY: Doubleday_ February 1978."
The Woman in the Room,Fiction_Horror_Medical Horror & Evil Science_Stephen  King_Clive  Barker_Dean R.  Koontz_L. Sprague  de Camp_Jack  Vance_Brian  Lumley_David  Morrell_Algis  Budrys_Avram  Davidson_Joyce Carol  Oates_James  Herbert_Jack  Williamson_Hugh B.  Cave_R.  Chetwynd-Hayes_Nigel  Kneale,"A woman who cannot die suffers from cancer. Only her son can bring relief.
Originally published in the collection Night Shift_ 1978."
