The Clue of the Broken Blade,Fiction_Children & Young Adult_Mystery,"Frank and Joe Hardy become involved in an intriguing mystery which revolves around their fencing master_ Ettore Russo.  Proof that Russo is the rightful heir to his grandfathers estate hinges on retrieving the guard end of a broken saber lost many years ago in California. 

The young investigators quest is complicated by a bank robbery during which some of their fathers important records are stolen.    Using Mr. Hardys recently purchased scientific device_ a sound spectrograph_ the boys identify the voiceprints of the leader of the masked robbers.  A chase ensues that Frank_ Joe_ and their pal Chet Morton to the grape-growing region of California and involves them in a dangerous game of hide-and-seek with the bank robbery gang_ who are also searching for the broken saber. 
A startling discovery at a movie location leads to the solution of this thrilling_ fast-paced mystery."
Illusion,Fiction_Fantasy_Historical,Imagine the French Revolution_ but in a world where the line between the classes fades because the magic of aristocrats has all but disappeared. We follow a young Eliste from her family's estate in the country (and her unusual relationship with an uncommonly bright serf_ Dref) to her appointment at the palace in Shereen. Her initiation into that gilded world is a story unto itself_ but then it all starts to fall apart around her as the revolution begins. The tale of sacrifice and struggle (and a touch of romance) is undiluted by the fantasy elements in the novel.
Sunshine,Fiction_Horror_Vampires,"They took her clothes and sneakers. They dressed her in a long red gown. And they shackled her to the wall of an abandoned mansion-within easy reach of a figure stirring in the moonlight. 

She knows that it is a vampire. 

She knows that she's to be his dinner_ and that when he is finished with her_ she will be dead. Yet_ when light breaks_ she finds that he has not attempted to harm her. And now it is he who needs her to help him survive the day..."
The Flickering Torch Mystery,Fiction_Children & Young Adult_Mystery,"Two unexplainable plane crashes near an airport on the East Coast plunge Frank and Joe Hardy into a bizarre case.
When their famous detective father is called to New York by a group of insurance companies to investigate air freight thefts at Kennedy International Airport_ Mr. Hardy asks Frank and Joe to take over his current case of the suspicious plane accidents. 

From the moment Frank and Joe find a radioactive engine in an airplane junkyard_ unexpected dangers strike like lightening.  Despite the repeated attempts on their lives_ the teen-age detectives pursue their investigation and make a second startling discovery involving contraband uranium isotopes.  These two vital clues and others that Frank and Joe unearth provide the solution to one of the most baffling mysteries the boys and Mr. Hardy have ever encountered."
The Melted Coins,Fiction_Children & Young Adult_Mystery,"Frank and Joe hardy suspect that their best friend Chet Morton is the victim of a summer school swindle and offer to help get his money back.  While probing a baffling burglary at the Seneca Indian Reservation in New York State they investigate Zoar College located nearby. 
Clues that Frank and Joe uncover indicate that there is a connection between the Zoar college swindle and the theft of the Seneca's gold tribal relic Spoon Mouth.  This startling discover propels the teen-age sleuths into a series of perplexing and dangerous situations. 

Two strange-acting college professors_ a valuable coin collection_ and a taciturn Indian who refuses to discuss the mystery surrounding Spoon Mouth-all blend into a fast-paced story with several surprise twists that will thrill the vast legion of Hardy Boys fans."
The Short-wave Mystery,Fiction_Children & Young Adult_Mystery,"When thieves hijack a collection of stuffed animals from a country auction_ Frank and Joe Hardy pursue the getaway car and are drawn into a thrilling mystery.  The recently acquired interest of their best pal_ chubby Chet Morton_ in taxidermy as a hobby adds fresh twists to the puzzle.
At the same time_ the young detective's father-famed private investigator Fenton Hardy-is tracking down an industrial spy ring.  Over the Hardy's ham radio_ Frank and Joe pick up a coded message from the spies_ consisting of names of various wild animals.  Are the industrial spies somehow mixed up in the hijacking at the auction and the rash of stuffed animal thefts that follow? 
This suspense-filled story of pursuit and detection will keep the reader breathlessly following the chain of unexpected developments that lead Frank and Joe to the spine-tingling climax in the wilds of Northern Canada."
The Secret Panel,Fiction_Children & Young Adult_Mystery,"Another exciting mystery begins for Frank and Joe Hardy when they help a stranger who has had an accident with his car.  The man introduces himself as John Mead_ owner of a nearby estate.  After he continues on his way_ Frank finds an odd-looking housekey which belongs to Mead.  But when they try to return it_ they learn that Joe Mead died five years ago!  They are even more amazed when they find the intricately carved doors in the dead man's deserted mansion have no visible knobs or keylocks.
While working on the mystery_ the boys assist their detective father in tracking down a highly organize ring of thieves who are robbing warehouses of television and stereo equipment.
What happens when Frank and Joe discover that there is a link between Mr. Hardy's case and the mysterious Mead mansion will keep the reader on edge with thrills and suspense."
"The World's Finest Mystery and Crime Stories, Second Annual Collection",Fiction_Crime and Mystery_Crime/Caper_Edward D.  Hoch_Nancy  Pickard_S.J.  Rozan_Peter  Lovesey_Les  Roberts_John  Lutz,"Contents:
The Year in Mystery and Crime Fiction: 2000 by Jon L. Breen
A 2000 Yearbook of Mystery and Crime by Edward D. Hoch
World Mystery Report: Great Britain by Maxim Jakubowski
World Mystery Report: Australia by David Honeybone & Lucy Sussex
World Mystery Report: Canada by Edo van Belkom
World Mystery Report: Germany by Thomas Wöertche
The 2000 Short Story Edgar Awards by Camille Minichino
The Year 2000 in Mystery Fandom by George A. Easter
Spinning by Kristine Kathryn Rusch
The Summer People by Brendan DuBois
Afraid of the Dark by Nancy Pickard
For All the Saints by Gillian Linscott
Lets Get Lost [Matt Scudder] by Lawrence Block
Under Suspicion by Clark Howard
Childhood by S.J. Rozan
Art & Craft [John Dortmunder] by Donald E. Westlake
The Allotment by Peter Crowther
Twelve of the Little Buggers by Mat Coward
Missing in Action [Frank Bascombe Special Constable] by Peter Robinson
The Haggard Society by Edward D. Hoch
Scorpions Kiss by Stuart M. Kaminsky
Noble Causes by Bob Mendes
The Sleeping Detective [Ivan Monk] by Gary Phillips
A Night in the Manchester Store by Stanley Cohen
What Mr. McGregor Saw by Dorothy Cannell
Delta Double-Deal by Noreen Ayres
Three Nil by Mat Coward
The Man in the Civil Suit by Jan Burke
Black and White Memories by Robert J. Randisi
Nothing to Lose by Robert Barnard
Widowers Walk [Hack Bohannon] by Joseph Hansen
Character Flaw [Robbie Stanton] by Christine Matthews
Golden Gate Bridge  A View from Below by Jürgen Ehlers
Boo by Richard Laymon
Veterans by John Lutz
The Abbey Ghosts by Jan Burke
The Country of the Blind by Doug Allyn
Happiness by Joyce Carol Oates
The Confession by Ian Rankin
The Perfectionist by Peter Lovesey
The Wall Too High [Michael Vlado] by Edward D. Hoch
The Silence by Kristine Kathryn Rusch
The Big Bite [Nameless private eye] by Bill Pronzini
The Gathering of the Klan [Milan Jacovich] by Les Roberts
When the Black Shadows Die by Clark Howard
Rebirth (Cain and Abel) by Miguel Agustí
Helena and the Babies by Denise Mina
Old Soldiers by Brendan DuBois
The Victim by Ed McBain
The Poet of Pulp: How Ed McBain Made the Precinct House a Respectable Place by Pete Hamill"
"The World's Finest Mystery and Crime Stories, Third Annual Collection",Fiction_Crime and Mystery_Crime/Caper_Edward D.  Hoch_Nancy  Pickard_S.J.  Rozan_Peter  Lovesey_Jon L.  Breen_Bill  Crider,"Each year_ Ed Gorman and Martin H. Greenberg_ editors of The Worlds Finest Mystery and Crime Stories_ have reached farther past the boundaries of the United States to find the very best suspense from the world over. In this third volume of their series they have included stories from Germany_ Belgium_ and the United Kingdom as well as_ of course_ a number of fine stories from the U.S.A. Among these tales are winners of the Edgar Award_ the Silver Dagger Award of the British Crime Writers_ and other major awards in the field.

In addition_ here are reports on the field of mystery and crime writing from correspondents in the U.S. (Jon L. Breen)_ England (Maxim Jakubowski)_ Canada (Edo Van Belkom)_ Australia (David Honeybone)_ and Germany (Thomas Woertche).

Altogether_ with nearly 250_000 words of the best short suspense published in 2001_ this bounteous volume is_ as the Wall Street Journal said of the previous years compilation_ the best value-for-money of any such anthology.

Contents:

Acknowledgements
The Year in Mystery and Crime Fiction: 2001 by Jon L. Breen
A 2001 Yearbook of Mystery and Crime by Edward D. Hoch
World Mystery Report: Great Britain by Maxim Jakubowski
World Mystery Report: Australia by David Honeybone
World Mystery Report: Canada by Edo van Belkom
World Mystery Report: Germany by Thomas Wöertche
The Year 2001 in Mystery Fandom by George A. Easter
Double-Crossing Delancey [Lydia Chin] by S.J. Rozan
Activity in the Flood Plain by Ed McBain
The Only Good Judge by Carolyn Wheat
Speaking of Greed by Lawrence Block
The California Contact by Clark Howard
Tell Me You Forgive Me? by Joyce Carol Oates
Beautiful by Jeffery Deaver
Unreasonable Doubt [Nate Heller] by Max Allan Collins
Lucky Devil by Nancy Pickard
The Star Thief by Brendan DuBois
Chip by Bill Pronzini
Come Again? by Donald E. Westlake
Dark Mirror by Lauren Henderson
The Adventure of the Cheshire Cheese [Sherlock Holmes] by Jon L. Breen
Dry Whiskey by David B. Silva
Countdown by Wolfgang Burger
Old Dog_ New Tricks by Robert Barnard
The Wink by Ruth Rendell
Fire Works by Paul Lascaux
Juggernaut by Nancy Springer
Star Struck by Peter Lovesey
Known Unto God by Jac. Toes
The Eye of the Beholder by Lillian Stewart Carl
Blind Alley by Mary Jane Maffini
Canon by John Vermeulen
A Well-Respected Man by Margaret Coel
The Girl Who Killed Santa Claus by Val McDermid
The Trebuchet Murder by Susanna Gregory
Turnaround by Carolyn Hart
Out Like a Lion by Bill Crider
The Perfect Man by Kristine Kathryn Rusch
Conscience by Stephen Rykena
Living Next Door to Malace by Billie Rubin
The Good Old German Way by Tatjana Kruse
The Case of the Bloodless Sock [Sherlock Holmes] by Anne Perry
Blood_ Snow_ and Classic Cars by Joseph Hansen
The Impostor by Marcia Muller
The Problem of the Yellow Wallpaper [Dr. Sam Hawthorne] by Edward D. Hoch
In the City of Angels by Dick Lochte
Honorable Mentions by Angela Zeman
About the Editors
Edited by: Ed Gorman and Martin H. Greenberg."
An Abundance of Airbags,Fiction_Crime and Mystery,Published in the July issue of Ellery Queen Mystery Magazine.
