Darknesses,Fiction_Science Fiction_Science Fantasy,"Corus is a world of humans_ but also of strange animals and supernatural creatures. It is a world of magical powers and of a few people who are Talented enough to use them. Alucius_ the hero of the story_ is one such person. In Legacies we saw how he grew from a Talented child on a lonely Nightsheep ranch in the Iron Valleys to a proficient soldier who used his wits and his Talent to become the first to escape military enslavement in the neighboring country of Madrien. Now captain of the Twenty-first Company_ the youngest officer of his rank in the Militia_ he must face new challenges_ both military and magical.

Corus has been fragmented since the collapse of its ancient magic-powered civilization. A would-be conqueror has somehow revived sorcerous creatures of legend to assist in his crusade to reunite the continent under his rule. The Iron Valleys are forced into an alliance with the Lord-Protector of Lanachrona and the Twenty-first is dispatched to stand against the invaders. Neither the officers above him nor the men under him know it_ but Alucius's Talent is their only hope for victory_ or even survival.

In Darknesses_ Alucius learns more about his magical Talent_ meets many more supernatural creatures_ and discovers the sinister forces vying for power behind the scenes across Corus. This volume completes the story arc begun in Legacies_ but there will be further books set in this world in the future.",,,,,
The Fires of Paratime,"Fiction_Science Fiction_World Versions_Time Travel_Species Evolution_Longevity and Immortality_L.E.  Modesitt, Jr.","On the planet Query_ immortality is universal and the ability to time-dive -- to swim through the currents of time and history -- is common. Those whose talents are developed enough join the Temporal Guard. Formed millennia ago_ after the devastating war with the malevolent time-traveling Frost Giants_ the elite Guard serves Query as protectors and suppliers_ roaming the cosmos and time continuum to deal with races that might threaten Query and to bring back from technologically advanced civilizations the equipment they need_ for Query has lost all ability to create its own technology. In actuality_ the Guard acts_ as well_ as the rulers of the planet_ and their rule has stood unchallenged for thousands of years....

....Until Loki comes along. Even among the Guards_ Loki is something special. The grandson of the great Ragnorak_ Loki demonstrated extraordinary time-diving abilities even as a child. Now_ as an adult and a member of the Guard_ his powers are still growing. He can penetrate the past deeper than the legendary Odinthor; he can outperform his senior officers in speed and accuracy; he can dip millions of years through the undertime and kill an enemy with his bare hands. When there is a problem that other guards cannot handle_ they call on Loki. He has become almost a legend himself as a rescuer of lost time-divers and as the hero who single-handedly destroyed the sinister ""shark"" people. Mostly_ Loki would prefer to be left alone in the unglamorous Maintenance section_ where he studies the secrets of technology in the hope that someday Query might once again be free of the need to steal from other cultures.

But great men have powerful enemies_ and Loki's is the influential and unscrupulous Heimdall. Hating the undisciplined and independent-minded young time-diver_ Heimdall will stop at nothing to rid the Guard of Loki.... Drawn unwillingly into the web of intrigue woven by Heimdall_ Loki is forced to recognize the corruption and evil of a Temporal Guard that destroys entire civilizations with its time-manipulation and must steal from others in order to exist. He knows he must act -- an act that will require nothing less than becoming a god....",,,,,
The Floating Opera and the End of the Road,Fiction_General Fiction,"Includes:
The Floating Opera
The End of the Road",,,,,
The End of the Road,Fiction_General Fiction,"Written before The Floating Opera had even found a publisher_ the book makes a good companion-piece to The Floating Opera with its similar style and narrative concerns. Though End of the Road seems rather tame today_ it was considered rather controversial at the time because of its frank discussion of abortion almost two decades before Roe vs. Wade.

Also published in The Floating Opera and the End of the Road",,,,,
Raft,Poetry_Verse,This collection of poetry can be downloaded from the author's website.,,,,,
The Magicians of Caprona,Fiction_Children & Young Adult_Fantasy,"Tonino is the only person in the famous Montana household who wasn't born with an instinct for creating spells_ but he has other gifts. His ability to communicate with cats just might help defend the city of Caprona against a mysterious enchanter  but only if Tonino can learn to cooperate with a girl from the hated Petrocchi family of spell-makers.

Also published in:
The Chronicles of Chrestomanci: Volume II",,,,,
Way of the Pilgrim,Fiction_Science Fiction_Alien Beings_Alien Invasion & Post-occupation,"Earth has been conquered by a powerful alien race. Shane_ a profoundly gifted human linguist_ has spent his life learning the aliens' language - and learning it so well that his interstellar masters_ old hands at enslaving planets_ come to value him as a servant.

But Shane has a terrible secret. One day_ in a rebellious moment_ he invented the Pilgrim_ a mysterious figure who incites rebellion all over Earth and vanishes unseen_ leaving a distinctive graffiti tag behind him.

Now the human underground is preparing to rebel. Shane knows exactly how hopeless their rebellion will be. And he knows just as well that he will be unable to keep himself from taking part.",,,,,
The Four Grannies,Fiction_Children & Young Adult_Fantasy_Diana Wynne  Jones,Included in the collection Stopping for a Spell.,,,,,
Chair Person,Fiction_Children & Young Adult_Fantasy_Humorous Fiction_Charles  de Lint_Jane  Yolen_Pamela  Dean_Diana Wynne  Jones_Bruce  Coville_Kara  Dalkey_Midori  Snyder_Sherwood  Smith_Elisabeth  Waters_Melissa Mia  Hall_Anne Eliot  Crompton_William  Sleator_Mary Frances  Zambreno_Anne  Hussey_Jymn  Magon_Mark  Zaslove_Addie  Lacoe_Mary K.  Whittington_Amy  Lawson,"When Auntie Christa spills some liquid from a conjuror's kit onto the seat of the old arm-chair_ it becomes a solid_ plump person. The chair person quickly establishes himself as a terrible nuisance_ even a menace.

Included in the collection Stopping for a Spell and Things That Go Bump in the Night.",,,,,
Witch Week,Fiction_Children & Young Adult_Fantasy,There are good witches and bad witches_ but the law says that all witches must be burned at the stake. So when an anonymous note warns_ Someone in this class is a witch_ the students in 6B are nervous  especially the boy who's just discovered that he can cast spells and the girl who was named after the most famous witch of all. Witch Week features the debonair enchanter Chrestomanci_ who also appears in Charmed Life_ The Magicians of Caprona_ and The Lives of Christopber Chant.,,,,,
