I Was a Teenage Grave Robber,Fiction_Horror_Medical Horror & Evil Science,Stephen King's first published story about a mad scientist.
Autopsy Room Four,Fiction_Horror_Medical Horror & Evil Science_Stephen  King_Lawrence  Watt-Evans_Charles L. Grant_Ed  Gorman_Esther M.  Friesner_Jane  Yolen_Stephen Mark Rainey_Billie Sue  Mosiman_Yvonne  Navarro_Gary A.  Braunbeck_Edo van  Belkom_David Niall  Wilson_Richard  Parks_Gary  Jonas_Richard Christian  Matheson_Clark  Perry_Dominick  Cancilla_Brent  Monahan_William D. Gagliani_Cindie  Geddes_Del  Stone_Denise M. Bruchman,"A man is paralyzed and discovers that he is about to have an autopsy performed on him.
Originally published in Robert Bloch's Psychos_ ed. Robert Bloch_ NY: Pocket Books_ 1997."
O-Zone,Fiction_Science Fiction_Bleak Futures_Nuclear Holocaust/Post-Apocalypse,"BEWARE_ ALL WHO ENTER HERE...

...into the America of the 21st centure_ this forbidden land of nuclear waste_ mutants_ and aliens.  Even now_ so many years after the disaser_ O-Zone remains under quarantine_ off-limits...to all but the wealthiest Owners.
To these eight Owners_ it is amusement_ a New Year's epic picnic.  The land's wild beauty awes them-but the aliens are a shock; the two the Owners kill look disturbingly human.
Haunted_ Hooper Albright will return to the depths of the zone-and find_ among the aliens_ the only woman he's ever loved.  His newphew Fisher_ brilliant and tormented_ will disappear into the aliens' uncharted life-first a victim_ finally a hero.  And Moura_ made a mother by a man she never knew_ will face the challenge of her long-buried craving.
Beware_ Owners_ of the bitter brave new world...beware the O-Zone's most dangerous secret-the fascination of the untamed."
The Man in the Black Suit,"Fiction_Horror_Satanism, Demonology, and Black Magic_Jonathan  Carroll_Neil  Gaiman_M. John  Harrison_Stephen  King_Ray  Bradbury_Steven  Millhauser_Harlan  Ellison_Charles  de Lint_Michael Marshall  Smith_Charles L. Grant_Nancy  Kress_Patricia A.  McKillip_Kristine Kathryn  Rusch_Michael  Swanwick_Judith  Tarr_Joyce Carol  Oates_Steve Rasnic  Tem_Jack  Ketchum_Jack  Womack_Ian  McDonald_Jane  Yolen_Douglas  Clegg_Darrell  Schweitzer_Delia  Sherman_Nicholson  Baker_Andrew  Klavan_William Browning  Spencer_A.R.  Morlan_Scott  Bradfield_Nicholas  Royle_Dale  Bailey_Geoffrey A.  Landis_Brian  Mooney_Barry  Lopez_Gregory  Feeley_Bradley  Denton_David S.  Garnett_Ellen  Datlow_Rachel  Wetzsteon_Lero  Quintana_Emily  Newland_Pagan  Kennedy_Margarita  Engle_Carme  Riera_John  Bradley_Linda Weasel  Head_Lenora  Champagne_Kelley  Eskridge_B. Brandon  Barker_Noy  Holland_David  Nickle_Kevin  Roice","A young boy meets the devil.

Appears in Everythings Eventual and The Year's Best Fanatsy and Horror: Eighth Annual Collection."
All That You Love Will Be Carried Away,Fiction_Horror_Stephen  King,"A strange man contemplates suicide.

Appears in Everythings Eventual."
The Death of Jack Hamilton,Fiction_Horror_General_Stephen  King,"A fictionalized account of famous mobsters.

Appears in Everythings Eventual."
On the Edge,Fiction_Crime and Mystery_Detective Story and Detectives,Soon after World War II_ two former co-workers in the operations room of a Royal Air Force Squadron meet in the street. Their lives have diverged dramatically but each wants to get rid of her husband. And so a mutual assistance pact is made.
The Sedgemoor Strangler and Other Stories of Crime,Fiction_Crime and Mystery_Detective Story and Detectives_Peter  Lovesey,"The Washington Post described Peter Lovesey's crime fiction as ""ingenious  irresistible  wickedly clever."" In ""The Sedgemoor Strangler_"" a serial killer leaves a naked corpse among the reeds_ and a young waitress gradually comes to suspect that she is the next victim. Another serial killer terrifies a nineteenth-century housewife in the shocking_ twisting tale of ""Dr Death."" Sherlock Holmes and Dr. Watson investigate the stealing of the Christmas Star in ""The Four Wise Men."" ""The Amorous Corpse"" is one of the finest recent impossible crime detective stories  a robbery is committed by a man proven by unimpeachable evidence to have been dead several hours earlier. In ""The Problem of Stateroom 10_"" the famous mystery writer Jacques Futrelle investigates a murder as the Titanic goes down.

Full of wit_ irony_ tricky plots_ and an engaging sense of place and time_ The Sedgemoor Strangler is an extraordinary collection of sixteen extraordinary stories.

Contents:

The Sedgemoor Strangler
The Perfectionist
Interior_ with Corpse
Dr. Death
The Four Wise Men
Away with the Fairies
Showmen
The Word of a Lady
Star Struck
The Amorous Corpse
The Kiss of Death
The Stalker
Ape
The Usual Table
The Problem of Stateroom 10
Murdering Max"
The Secret of Spandau,Fiction_Crime and Mystery_Detective Story and Detectives_Amateur,Spandau Prison has only one inmate. His name is Rudolf Hess_ a Nazi with a a dangerous tale to tell. Only Berlin correspondent_ Red Goodbody - a newshound with courage and panache - is able to get close enough to the prisoner to unravel the mysteries of Spandau.
The Reaper,Fiction_Crime and Mystery,"Otis Joy is the popular and handsome young rector of St. Bartholomew's Church in Foxford_ Wiltshire_ England. Soon after a pastoral visit to him by the bishop_ the bishop's body is found lying at the bottom of a quarry. In the bishop's car are a suicide note_ a copy of a racy men's magazine and a Bible with an underlined text reading: ""hath devoured thy living with harlots."" His last telephone call_ the police discover_ was to a Madame Swish.

Did the bishop take his own life? His death is strangely opportune. The bishop had accused Joy of embezzling church funds.  One sudden death seems to bring on another_ and another_ in rural Foxford. Then Otis Joy finds his soul mate."
Spider Girl,Fiction_Crime and Mystery_Suspense,Sarah Jordan is a beautiful and clever PhD researcher at an American university working with spiders. When Sarah was in adolescence she forced herself to conquer her basic human fear of spiders and now she loves them. Discovered by a documentary television team_ she is groomed as a TV personality. On the giant nylon web built in the studio she feels strangely exhilarated. People begin to call her Spider Girl.
